ms_desde_inicio,diferencia,sobre_umbral,muestras_perdidas
336,30.02,1,24
629,0.41,0,26
1079,0.00,0,26
1359,0.18,0,44
1615,168.29,1,59
1869,4.66,0,73
2120,88.48,1,95
2686,0.51,0,101
2963,153.81,1,112
3214,20.75,1,130
3466,13.11,0,157
3717,3.73,0,185
3970,67.90,1,209
4279,2.51,0,212
5009,0.00,0,212
5275,0.00,0,213
5531,162.75,1,230
6098,85.32,1,237
6365,36.14,1,254
6616,23.63,1,267
6876,98.47,1,286
7129,26.17,1,314
7379,1.21,0,338
7631,1.29,0,361
7890,1.39,0,387
8146,1.89,0,412
8403,4.91,0,440
8653,4.98,0,464
8904,10.22,0,487
9154,2.25,0,515
9412,67.66,1,535
9669,64.98,1,553
9926,10.26,0,582
10187,10.05,0,600
10442,32.38,1,617
10699,54.70,1,636
10953,65.36,1,655
11208,43.20,1,683
11467,52.41,1,711
11717,49.43,1,735
11974,40.42,1,760
12231,29.01,1,785
12483,49.11,1,809
12739,50.20,1,836
12989,28.75,1,859
13247,48.05,1,887
13503,64.60,1,908
13761,63.43,1,925
14012,39.48,1,939
14263,25.11,1,950
14529,17.68,0,965
14795,12.04,0,980
15062,8.42,0,995
15329,15.02,0,1010
15579,24.60,1,1024
15835,29.07,1,1041
16134,30.20,1,1062
16436,0.32,0,1062
16709,28.96,1,1083
16964,91.56,1,1107
17215,5.00,0,1136
17476,89.82,1,1150
17854,29.52,1,1160
