ms_desde_inicio,diferencia,sobre_umbral,muestras_perdidas
347,34.06,1,27
750,0.25,0,28
1002,110.85,1,42
1472,82.10,1,64
1730,87.84,1,90
2241,0.52,0,107
2497,59.90,1,125
2750,9.58,0,146
3004,56.01,1,161
3256,9.00,0,187
3513,6.43,0,213
3769,7.58,0,240
4029,7.01,0,266
4282,7.83,0,292
4537,5.77,0,317
4787,7.82,0,341
5045,62.53,1,355
5295,22.69,1,383
5553,15.49,0,408
5803,15.79,0,432
6058,14.10,0,459
6316,13.53,0,475
6568,14.76,0,501
6824,11.50,0,529
7082,11.16,0,555
7332,6.61,0,581
7593,15.15,0,608
7850,17.06,0,632
8101,40.23,1,646
8355,9.41,0,660
8618,12.47,0,675
8883,10.16,0,690
9133,13.83,0,704
9397,11.90,0,718
9664,13.90,0,733
9915,30.81,1,747
10165,6.59,0,761
10432,12.42,0,776
10683,11.26,0,790
10948,11.87,0,805
11198,11.90,0,818
11463,9.32,0,833
11729,10.19,0,847
11980,33.51,1,861
12245,23.21,1,876
12511,17.99,0,890
12761,16.82,0,904
13011,15.56,0,918
13261,18.20,1,932
13514,14.44,0,946
13776,20.25,1,961
14030,20.19,1,975
14292,18.67,1,989
14557,16.46,0,1004
14808,21.06,1,1018
15064,43.14,1,1034
15347,62.82,1,1056
15604,0.30,0,1086
16004,0.03,0,1112
16255,80.78,1,1123
16511,14.98,0,1152
16764,13.61,0,1176
17014,15.66,0,1201
17270,14.65,0,1229
17526,9.27,0,1257
17783,7.25,0,1285
18036,82.69,1,1311
18292,0.49,0,1335
18544,0.77,0,1362
18800,0.63,0,1389
19055,0.35,0,1413
19307,0.42,0,1427
19558,0.21,0,1441
19811,0.26,0,1455
21770,130.72,1,1477
22251,0.00,0,1479
22504,97.01,1,1492
22777,16.45,0,1518
23068,49.92,1,1524
23325,61.88,1,1554
23581,83.12,1,1583
23840,12.66,0,1601
24093,101.50,1,1621
24659,0.42,0,1624
24909,25.85,1,1652
25159,85.82,1,1680
25414,13.75,0,1709
25800,0.45,0,1717
26055,71.17,1,1735
26406,41.39,1,1755
26662,0.20,0,1778
26913,135.80,1,1805
27328,0.92,0,1818
27592,89.94,1,1842
27855,79.08,1,1850
28118,9.40,0,1854
28384,10.01,0,1858
28650,8.24,0,1862
28933,3.26,0,1869
29200,19.63,1,1873
29467,13.17,0,1877
29734,8.14,0,1881
29999,16.33,0,1885
30258,11.15,0,1889
30526,9.91,0,1893
30783,13.01,0,1897
31047,11.32,0,1901
31320,8.92,0,1905
31581,3.88,0,1909
31849,4.27,0,1913
32113,3.21,0,1917
32367,6.50,0,1921
32631,11.14,0,1925
32897,6.85,0,1929
33213,7.47,0,1934
33476,53.52,1,1939
33749,13.72,0,1943
34069,7.51,0,1948
34378,2.80,0,1953
34650,16.95,0,1957
34942,15.44,0,1962
35210,8.14,0,1966
35462,79.70,1,1981
36234,56.34,1,1989
36497,112.59,1,1997
36750,2.10,0,2004
37014,2.12,0,2011
37279,6.56,0,2018
37564,17.80,0,2026
37829,9.42,0,2033
38095,10.35,0,2040
38363,10.72,0,2047
38617,4.97,0,2054
38895,3.87,0,2061
39153,5.25,0,2068
39426,11.46,0,2075
39691,15.40,0,2083
39957,8.75,0,2090
40228,3.26,0,2097
40495,2.29,0,2104
40759,4.37,0,2111
41045,7.59,0,2118
41325,14.71,0,2126
41578,7.62,0,2132
41845,5.12,0,2139
42125,5.33,0,2147
42377,3.71,0,2153
42641,6.02,0,2160
42929,13.91,0,2168
43193,14.74,0,2175
43460,8.63,0,2182
43710,3.40,0,2188
44004,2.58,0,2196
44273,5.94,0,2203
44541,2.10,0,2210
44839,6.19,0,2218
45104,16.36,0,2225
45361,12.48,0,2233
45632,6.85,0,2238
46087,12.03,0,2238
46339,88.86,1,2262
46962,34.18,1,2265
47218,104.60,1,2293
47471,0.00,0,2320
47721,0.00,0,2346
47971,0.00,0,2373
48228,0.00,0,2401
48487,0.00,0,2429
48742,0.00,0,2456
48995,1.48,0,2483
49251,0.45,0,2512
49503,14.78,0,2535
49757,58.53,1,2561
50017,14.32,0,2590
50285,78.25,1,2611
51460,39.95,1,2620
54733,0.00,0,2620
