ms_desde_inicio,diferencia,sobre_umbral,muestras_perdidas
74737,2.84,0,5691
74987,9.71,0,5720
75304,15.65,0,5736
75555,45.45,1,5765
75812,15.20,0,5794
76064,6.75,0,5815
76317,96.89,1,5834
77700,11.70,0,5842
81155,0.00,0,5842
83151,0.00,0,5842
